주차,관찰일,학생ID,학생명,과목,수업태도(1-5),참여수준(1-5),이해정도(1-5),긍정관찰,관찰필요,교사코멘트
6,2026-07-04,S30321,유선희,국어,2.6,3,4.9,또래에게 설명을 잘 제공,모둠 내 소극적,6주차 국어 수업에서 또래에게 설명을 잘 제공. 모둠 내 소극적에 대한 추가 지도 필요.
6,2026-07-04,S30322,허주현,국어,2,2.1,4.1,발표에 적극적,,6주차 국어 수업에서 발표에 적극적. 전반적으로 안정적 참여.
6,2026-07-04,S30323,오진은,국어,2.8,3.5,3.2,오답노트 작성 성실,,6주차 국어 수업에서 오답노트 작성 성실. 전반적으로 안정적 참여.
6,2026-07-04,S30324,배서경,국어,4.3,3.9,3.3,자기주도 학습 태도 양호,개념 질문 빈도 낮음,6주차 국어 수업에서 자기주도 학습 태도 양호. 개념 질문 빈도 낮음에 대한 추가 지도 필요.
6,2026-07-04,S30325,양혁율,국어,3.6,3.4,2.9,자기주도 학습 태도 양호,,6주차 국어 수업에서 자기주도 학습 태도 양호. 전반적으로 안정적 참여.
6,2026-07-04,S30326,유진민,국어,2.7,2.1,3.5,자기주도 학습 태도 양호,,6주차 국어 수업에서 자기주도 학습 태도 양호. 전반적으로 안정적 참여.
7,2026-07-11,S30301,신도미,국어,3.2,4.3,4.4,발표에 적극적,,7주차 국어 수업에서 발표에 적극적. 전반적으로 안정적 참여.
7,2026-07-11,S30302,강도민,국어,3.1,3.1,4.5,오답노트 작성 성실,,7주차 국어 수업에서 오답노트 작성 성실. 전반적으로 안정적 참여.
7,2026-07-11,S30303,서준미,국어,3.5,3.2,3.3,또래에게 설명을 잘 제공,AI 도구 의존도 높음,7주차 국어 수업에서 또래에게 설명을 잘 제공. AI 도구 의존도 높음에 대한 추가 지도 필요.
7,2026-07-11,S30304,전시준,국어,2.9,2.5,4.1,자기주도 학습 태도 양호,,7주차 국어 수업에서 자기주도 학습 태도 양호. 전반적으로 안정적 참여.
7,2026-07-11,S30305,송연희,국어,4.7,4.8,3.5,자기주도 학습 태도 양호,개념 질문 빈도 낮음,7주차 국어 수업에서 자기주도 학습 태도 양호. 개념 질문 빈도 낮음에 대한 추가 지도 필요.
7,2026-07-11,S30306,강하은,국어,4.5,4.9,4.2,자기주도 학습 태도 양호,AI 도구 의존도 높음,7주차 국어 수업에서 자기주도 학습 태도 양호. AI 도구 의존도 높음에 대한 추가 지도 필요.
7,2026-07-11,S30307,김성희,국어,5,4.2,4,자기주도 학습 태도 양호,,7주차 국어 수업에서 자기주도 학습 태도 양호. 전반적으로 안정적 참여.
7,2026-07-11,S30308,안하연,국어,2.8,3.8,4.1,발표에 적극적,,7주차 국어 수업에서 발표에 적극적. 전반적으로 안정적 참여.
7,2026-07-11,S30309,안지경,국어,4.2,3.7,2.9,자기주도 학습 태도 양호,모둠 내 소극적,7주차 국어 수업에서 자기주도 학습 태도 양호. 모둠 내 소극적에 대한 추가 지도 필요.
7,2026-07-11,S30310,허혜율,국어,4.1,4.5,3.2,발표에 적극적,집중 지속시간 짧음,7주차 국어 수업에서 발표에 적극적. 집중 지속시간 짧음에 대한 추가 지도 필요.
7,2026-07-11,S30311,강하수,국어,3.3,2.8,4.1,오답노트 작성 성실,,7주차 국어 수업에서 오답노트 작성 성실. 전반적으로 안정적 참여.
7,2026-07-11,S30312,유선민,국어,2.2,2.8,4,과제를 꾸준히 제출,오답 재검토 부족,7주차 국어 수업에서 과제를 꾸준히 제출. 오답 재검토 부족에 대한 추가 지도 필요.
7,2026-07-11,S30313,신하윤,국어,4,4,3.3,과제를 꾸준히 제출,AI 도구 의존도 높음,7주차 국어 수업에서 과제를 꾸준히 제출. AI 도구 의존도 높음에 대한 추가 지도 필요.
7,2026-07-11,S30314,장진지,국어,3.4,2.2,4,발표에 적극적,,7주차 국어 수업에서 발표에 적극적. 전반적으로 안정적 참여.
7,2026-07-11,S30315,박시호,국어,3.8,2.7,3.8,오답노트 작성 성실,,7주차 국어 수업에서 오답노트 작성 성실. 전반적으로 안정적 참여.
7,2026-07-11,S30316,서시은,국어,2.5,2.3,3.6,자기주도 학습 태도 양호,,7주차 국어 수업에서 자기주도 학습 태도 양호. 전반적으로 안정적 참여.
7,2026-07-11,S30317,손은호,국어,4,3.8,2.9,자기주도 학습 태도 양호,,7주차 국어 수업에서 자기주도 학습 태도 양호. 전반적으로 안정적 참여.
7,2026-07-11,S30318,오진율,국어,3.9,2.9,4,과제를 꾸준히 제출,AI 도구 의존도 높음,7주차 국어 수업에서 과제를 꾸준히 제출. AI 도구 의존도 높음에 대한 추가 지도 필요.
7,2026-07-11,S30319,남유원,국어,2.1,2.6,3.7,자기주도 학습 태도 양호,집중 지속시간 짧음,7주차 국어 수업에서 자기주도 학습 태도 양호. 집중 지속시간 짧음에 대한 추가 지도 필요.
7,2026-07-11,S30320,조선우,국어,2.9,3.6,3.4,오답노트 작성 성실,오답 재검토 부족,7주차 국어 수업에서 오답노트 작성 성실. 오답 재검토 부족에 대한 추가 지도 필요.
7,2026-07-11,S30321,유선희,국어,3,3.8,5,과제를 꾸준히 제출,,7주차 국어 수업에서 과제를 꾸준히 제출. 전반적으로 안정적 참여.
7,2026-07-11,S30322,허주현,국어,2.3,2.9,3,발표에 적극적,개념 질문 빈도 낮음,7주차 국어 수업에서 발표에 적극적. 개념 질문 빈도 낮음에 대한 추가 지도 필요.
7,2026-07-11,S30323,오진은,국어,2.9,3.4,2.7,또래에게 설명을 잘 제공,개념 질문 빈도 낮음,7주차 국어 수업에서 또래에게 설명을 잘 제공. 개념 질문 빈도 낮음에 대한 추가 지도 필요.
7,2026-07-11,S30324,배서경,국어,3.7,4.5,3.6,발표에 적극적,,7주차 국어 수업에서 발표에 적극적. 전반적으로 안정적 참여.
7,2026-07-11,S30325,양혁율,국어,2.3,4,3.8,과제를 꾸준히 제출,,7주차 국어 수업에서 과제를 꾸준히 제출. 전반적으로 안정적 참여.
7,2026-07-11,S30326,유진민,국어,2.3,3.2,3.8,오답노트 작성 성실,,7주차 국어 수업에서 오답노트 작성 성실. 전반적으로 안정적 참여.
8,2026-07-18,S30301,신도미,국어,4.3,3.7,3.7,과제를 꾸준히 제출,AI 도구 의존도 높음,8주차 국어 수업에서 과제를 꾸준히 제출. AI 도구 의존도 높음에 대한 추가 지도 필요.
8,2026-07-18,S30302,강도민,국어,3.5,4.2,4,또래에게 설명을 잘 제공,,8주차 국어 수업에서 또래에게 설명을 잘 제공. 전반적으로 안정적 참여.
8,2026-07-18,S30303,서준미,국어,3.8,4.2,3.5,오답노트 작성 성실,,8주차 국어 수업에서 오답노트 작성 성실. 전반적으로 안정적 참여.
8,2026-07-18,S30304,전시준,국어,3.3,3.5,3.3,발표에 적극적,,8주차 국어 수업에서 발표에 적극적. 전반적으로 안정적 참여.
8,2026-07-18,S30305,송연희,국어,4.5,4.6,2.9,자기주도 학습 태도 양호,,8주차 국어 수업에서 자기주도 학습 태도 양호. 전반적으로 안정적 참여.
8,2026-07-18,S30306,강하은,국어,5,5,4.7,과제를 꾸준히 제출,개념 질문 빈도 낮음,8주차 국어 수업에서 과제를 꾸준히 제출. 개념 질문 빈도 낮음에 대한 추가 지도 필요.
8,2026-07-18,S30307,김성희,국어,4.9,5,4.8,오답노트 작성 성실,오답 재검토 부족,8주차 국어 수업에서 오답노트 작성 성실. 오답 재검토 부족에 대한 추가 지도 필요.
8,2026-07-18,S30308,안하연,국어,3,2.6,4.6,자기주도 학습 태도 양호,AI 도구 의존도 높음,8주차 국어 수업에서 자기주도 학습 태도 양호. AI 도구 의존도 높음에 대한 추가 지도 필요.
8,2026-07-18,S30309,안지경,국어,4.2,4.2,3,오답노트 작성 성실,,8주차 국어 수업에서 오답노트 작성 성실. 전반적으로 안정적 참여.
8,2026-07-18,S30310,허혜율,국어,3.8,3.5,3.4,또래에게 설명을 잘 제공,개념 질문 빈도 낮음,8주차 국어 수업에서 또래에게 설명을 잘 제공. 개념 질문 빈도 낮음에 대한 추가 지도 필요.
8,2026-07-18,S30311,강하수,국어,3.7,2.6,3.1,또래에게 설명을 잘 제공,,8주차 국어 수업에서 또래에게 설명을 잘 제공. 전반적으로 안정적 참여.
8,2026-07-18,S30312,유선민,국어,2.5,3.1,4.7,오답노트 작성 성실,,8주차 국어 수업에서 오답노트 작성 성실. 전반적으로 안정적 참여.
8,2026-07-18,S30313,신하윤,국어,4.1,3.9,3.3,또래에게 설명을 잘 제공,,8주차 국어 수업에서 또래에게 설명을 잘 제공. 전반적으로 안정적 참여.
8,2026-07-18,S30314,장진지,국어,3.5,1.6,5,과제를 꾸준히 제출,,8주차 국어 수업에서 과제를 꾸준히 제출. 전반적으로 안정적 참여.
8,2026-07-18,S30315,박시호,국어,3.4,3.3,3.4,또래에게 설명을 잘 제공,,8주차 국어 수업에서 또래에게 설명을 잘 제공. 전반적으로 안정적 참여.
8,2026-07-18,S30316,서시은,국어,2.4,2.6,4.2,오답노트 작성 성실,오답 재검토 부족,8주차 국어 수업에서 오답노트 작성 성실. 오답 재검토 부족에 대한 추가 지도 필요.
8,2026-07-18,S30317,손은호,국어,3.9,3.3,2,오답노트 작성 성실,AI 도구 의존도 높음,8주차 국어 수업에서 오답노트 작성 성실. AI 도구 의존도 높음에 대한 추가 지도 필요.
8,2026-07-18,S30318,오진율,국어,3.8,4.2,3.1,자기주도 학습 태도 양호,,8주차 국어 수업에서 자기주도 학습 태도 양호. 전반적으로 안정적 참여.
8,2026-07-18,S30319,남유원,국어,2.9,2.5,3.9,또래에게 설명을 잘 제공,,8주차 국어 수업에서 또래에게 설명을 잘 제공. 전반적으로 안정적 참여.
8,2026-07-18,S30320,조선우,국어,2.9,2.5,3.8,오답노트 작성 성실,집중 지속시간 짧음,8주차 국어 수업에서 오답노트 작성 성실. 집중 지속시간 짧음에 대한 추가 지도 필요.
8,2026-07-18,S30321,유선희,국어,3.4,2.4,4.5,발표에 적극적,개념 질문 빈도 낮음,8주차 국어 수업에서 발표에 적극적. 개념 질문 빈도 낮음에 대한 추가 지도 필요.
8,2026-07-18,S30322,허주현,국어,1.9,2.5,2.4,오답노트 작성 성실,오답 재검토 부족,8주차 국어 수업에서 오답노트 작성 성실. 오답 재검토 부족에 대한 추가 지도 필요.
8,2026-07-18,S30323,오진은,국어,4.1,2.8,2.9,오답노트 작성 성실,집중 지속시간 짧음,8주차 국어 수업에서 오답노트 작성 성실. 집중 지속시간 짧음에 대한 추가 지도 필요.
8,2026-07-18,S30324,배서경,국어,3.8,3.8,3.6,발표에 적극적,집중 지속시간 짧음,8주차 국어 수업에서 발표에 적극적. 집중 지속시간 짧음에 대한 추가 지도 필요.
8,2026-07-18,S30325,양혁율,국어,3.1,2.7,3.3,과제를 꾸준히 제출,모둠 내 소극적,8주차 국어 수업에서 과제를 꾸준히 제출. 모둠 내 소극적에 대한 추가 지도 필요.
8,2026-07-18,S30326,유진민,국어,2.2,3.1,2.9,발표에 적극적,집중 지속시간 짧음,8주차 국어 수업에서 발표에 적극적. 집중 지속시간 짧음에 대한 추가 지도 필요.
